seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5401	0.05	1	500	1	0.001	5000	0.5	f1	0.5	True	0.0	low_confidence	False	FN
5401	0.05	1	500	1	0.001	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.001	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.001	5000	0.25	f1	0.25	True	0.0	low_confidence	False	FN
5401	0.05	1	500	1	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.001	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.001	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.05	1	500	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.01	5000	1	f1	1.0	False	0.0	low_confidence	False	TN
5401	0.05	1	500	1	0.01	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	1	0.01	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	1	0.01	5000	0.75	f1	0.75	False	0.0	low_confidence	False	TN
5401	0.05	1	500	1	0.01	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	1	0.01	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	1	0.01	5000	0.5	f1	0.5	True	0.0	low_confidence	False	FN
5401	0.05	1	500	1	0.01	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.01	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.01	5000	0.25	f1	0.25	True	0.0	low_confidence	False	FN
5401	0.05	1	500	1	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.01	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.01	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.05	1	500	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	1	f1	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0	5000	0.75	f1	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0	5000	0.5	f1	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0.25	f1	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	1	f1	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.001	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.001	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.001	5000	0.75	f1	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.001	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.001	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.001	5000	0.5	f1	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0.25	f1	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	1	f1	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.01	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.01	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.01	5000	0.75	f1	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.01	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.01	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	5	0.01	5000	0.5	f1	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0.25	f1	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	1	f1	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0	5000	0.75	f1	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0	5000	0.5	f1	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0.25	f1	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	1	f1	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.001	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.001	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.001	5000	0.75	f1	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.001	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.001	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.001	5000	0.5	f1	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0.25	f1	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	1	f1	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.01	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.01	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.01	5000	0.75	f1	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.01	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.01	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	1	500	20	0.01	5000	0.5	f1	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0.25	f1	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.05	1	500	20	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.05	3	500	1	0	5000	1	f1	1.0	False	0.0	low_confidence	False	TN
5401	0.05	3	500	1	0	5000	1	f2	1.0	False	0.0	reads_only	True	FP
5401	0.05	3	500	1	0	5000	1	f3	1.0	False	0.0	reads_only	True	FP
5401	0.05	3	500	1	0	5000	0.75	f1	0.75	False	0.0	low_confidence	False	TN
5401	0.05	3	500	1	0	5000	0.75	f2	0.75	False	0.0	reads_only	True	FP
5401	0.05	3	500	1	0	5000	0.75	f3	0.75	False	0.0	reads_only	True	FP
5401	0.05	3	500	1	0	5000	0.5	f1	0.5	True	0.0	low_confidence	False	FN
5401	0.05	3	500	1	0	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.05	3	500	1	0	5000	0.5	f3	0.5	True	0.0	reads_only	True	TP
5401	0.05	3	500	1	0	5000	0.25	f1	0.25	True	0.0	low_confidence	False	FN
5401	0.05	3	500	1	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.05	3	500	1	0	5000	0.25	f3	0.25	True	0.0	reads_only	True	TP
5401	0.05	3	500	1	0	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
